"Age Group 1 by Crash Time (Hour)",,"Crash Date (Year)",,,,,,,,,,,,,,,
,,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Total"
,"3:00pm-3:59pm",822,929,835,871,791,672,626,631,703,629,610,691,721,692,655,10878
,"4:00pm-4:59pm",994,946,900,932,800,718,755,689,726,663,653,743,773,778,742,11812
,"5:00pm-5:59pm",1023,1083,968,945,890,885,843,771,798,786,795,830,864,871,852,13204
,"6:00pm-6:59pm",1027,1088,1115,1030,940,907,824,824,871,802,889,945,928,1012,970,14172
,"7:00pm-7:59pm",1017,1088,1083,964,999,918,867,783,869,806,816,953,969,960,923,14015
,"8:00pm-8:59pm",1038,1123,1108,1111,1011,933,817,910,896,860,864,1015,1012,1040,1007,14745

,"9:00pm-9:59pm",1078,1091,1122,1119,1026,973,869,894,944,971,890,1028,1034,1081,1107,15227
,"10:00pm-10:59pm",1047,1034,1081,997,951,861,807,804,807,890,857,899,1004,1018,966,14023
,"11:00pm-11:59pm",965,1013,960,971,965,799,819,751,809,822,765,813,912,928,870,13162
,"Unknown Hours",207,188,197,197,145,145,115,127,143,120,129,145,123,152,131,2264
,"Total",19313,19918,19816,19098,17634,15946,15189,14957,15726,15121,14975,16355,17322,17288,16858,255516
"55+","0:00am-0:59am",123,143,127,112,146,136,123,145,154,143,149,197,204,197,221,2320
,"1:00am-1:59am",100,124,101,121,118,82,109,90,125,123,148,127,147,147,149,1811
,"2:00am-2:59am",88,107,108,110,111,95,106,81,94,99,97,129,150,147,152,1674
,"3:00am-3:59am",78,93,90,80,77,83,75,84,95,103,93,109,122,122,116,1420
,"4:00am-4:59am",95,118,89,98,105,87,86,97,92,99,111,115,138,153,148,1631
,"5:00am-5:59am",212,200,197,215,186,166,208,194,211,217,237,242,295,271,306,3357
,"6:00am-6:59am",328,347,333,282,278,309,296,315,319,344,325,370,381,437,432,5096

,"7:00am-7:59am",381,390,328,339,333,279,332,352,329,360,354,351,401,370,408,5307
,"8:00am-8:59am",406,434,424,403,373,349,338,373,352,386,383,356,422,440,402,5841
,"9:00am-9:59am",509,512,492,507,530,429,481,423,474,448,433,493,525,474,491,7221
,"10:00am-10:59am",605,636,600,590,566,529,559,500,547,562,545,576,557,631,580,8583
,"11:00am-11:59am",660,659,632,609,605,570,604,594,587,610,594,619,703,649,716,9411
,"12:00pm-12:59pm",698,694,721,671,646,561,620,631,593,618,653,656,684,763,741,9950
,"1:00pm-1:59pm",742,736,740,702,664,662,679,701,638,683,680,689,789,792,748,10645
,"2:00pm-2:59pm",792,799,777,773,723,679,750,643,715,724,688,781,812,858,839,11353
,"3:00pm-3:59pm",768,892,779,756,724,703,689,646,738,751,691,782,815,887,836,11457
,"4:00pm-4:59pm",759,723,708,719,616,647,656,654,668,626,669,724,829,755,753,10506
,"5:00pm-5:59pm",709,704,660,651,611,626,568,637,677,628,674,783,806,857,780,10371
,"6:00pm-6:59pm",622,647,600,587,617,519,580,532,627,608,620,706,820,758,774,9617

,"7:00pm-7:59pm",470,475,488,451,434,441,485,457,523,516,508,602,666,685,684,7885
,"8:00pm-8:59pm",426,460,401,453,376,335,412,411,482,493,486,564,614,634,663,7210
,"9:00pm-9:59pm",341,368,346,356,330,330,329,359,362,374,448,482,483,505,584,5997
,"10:00pm-10:59pm",259,258,273,268,228,250,238,270,278,294,279,344,370,366,392,4367
,"11:00pm-11:59pm",163,176,173,183,165,165,168,185,206,226,204,233,250,281,300,3078
,"Unknown Hours",53,47,51,52,45,52,57,40,51,49,59,63,85,62,72,838
,"Total",10387,10742,10238,10088,9607,9084,9548,9414,9937,10084,10128,11093,12068,12241,12287,156946
"Unknown","0:00am-0:59am",7,4,9,3,5,4,5,4,4,2,3,5,7,5,4,71
,"1:00am-1:59am",9,7,9,6,6,2,1,2,5,2,2,4,5,6,13,79
,"2:00am-2:59am",9,8,5,4,5,2,4,2,4,1,7,3,5,7,8,74
,"3:00am-3:59am",9,5,7,13,7,4,1,1,2,4,4,1,6,6,3,73
,"4:00am-4:59am",7,4,4,6,0,2,2,6,2,3,5,4,2,6,3,56
,"5:00am-5:59am",5,8,9,8,4,3,3,3,4,4,3,1,4,4,6,69
,"6:00am-6:59am",2,9,1,4,1,2,0,0,1,2,1,2,8,7,6,46
,"7:00am-7:59am",0,1,2,0,1,2,4,1,4,1,1,2,0,2,4,25

,"8:00am-8:59am",1,1,0,3,1,2,1,1,1,2,1,1,2,0,7,24
